,datetime,latitude,longitude,city,state,duration,shape,comments
68912,2010-07-04 22:30:00,47.8627778,-121.8152778,sultan,wa,1800,fireball,7 fireball crafts flew overhead from north to south in Sultan&#44 WA at 22:30 on July 4&#44 2010
68913,2010-07-04 22:30:00,46.2630556,-95.5366667,vining,mn,240,unknown,red dots in night sky
68914,2010-07-04 22:30:00,40.1719444,-84.9813889,winchester,in,120,fireball,Red and Orange Sparkling Orb Defies Aviation Principles
68915,2010-07-04 22:30:00,40.3616667,-76.1844444,womelsdorf,pa,120,other,Strange light formations on long exposure photo&#39s...
68916,2010-07-04 22:35:00,47.5675,-122.6313889,bremerton,wa,600,circle,Two red glowing circles hovering in sky on July 4th.
68918,2010-07-04 22:40:00,41.1238889,-100.765,north platte,ne,30,rectangle,One object bright orange traveling at a high rate of speed and very large.
68920,2010-07-04 22:50:00,33.6602778,-117.9983333,huntington beach,ca,15,cylinder,Cylidrical object with bright white lights heading northeasterly from downtown Huntington Beach
68922,2010-07-04 22:54:00,42.9316667,-76.5663889,auburn,ny,10,triangle,7-4-2010  Auburn NY  Triange Stars 10 to 15 sec. looked like stars
68923,2010-07-04 22:54:00,42.9316667,-76.5663889,auburn,ny,10,triangle,what I saw was three stars appear in the southern sky over scorpios head and then disappear
68924,2010-07-04 22:58:00,29.9744444,-92.1341667,abbeville,la,60,triangle,the flying apparatus had 30 to 40 lights n it and it was flying very slow heading north towards Lafayette Louisiana.
68925,2010-07-04 23:00:00,42.3211111,-85.1797222,battle creek,mi,0,circle,A orange ball. Going up and down. The color would fade&#44 then come back to color again. It almost looked like it was coming toward me.
68926,2010-07-04 23:00:00,40.0161111,-81.0727778,bethesda,oh,360,other,Red orb light flying in clear night in east ohio on july 4th
68927,2010-07-04 23:00:00,47.7625,-122.2041667,bothell,wa,30,fireball,Yellow/Orange Lights
68928,2010-07-04 23:00:00,39.9347222,-75.0311111,cherry hill,nj,240,triangle,orange lights
68929,2010-07-04 23:00:00,45.12,-93.2875,coon rapids,mn,300,circle,July 4th&#44 at 11pm witnessed orange fireball with traveling across the entire night sky in Coon Rapids Minnesota.
68930,2010-07-04 23:00:00,36.0769444,-87.3877778,dickson,tn,30,sphere,Orange colored&#44 sphere shaped object&#44 low in elevation and speed. no sudden movement&#44 very smooth and steady. silent.
68932,2010-07-04 23:00:00,32.9747222,-97.3475,haslet,tx,180,sphere,Roundish object lit by steady yellowish light
68933,2010-07-04 23:00:00,40.7061111,-73.6191667,hempstead,ny,600,light,One bright light that was intense...  it was orange and intense.
68934,2010-07-04 23:00:00,32.3122222,-106.7777778,las cruces,nm,360,sphere,Several lights appeared in a line and disappeared one after another.
68935,2010-07-04 23:00:00,40.0483333,-86.4691667,lebanon,in,600,sphere,4 huge reddish/orange balls of light on the 4th of July 2010
68936,2010-07-04 23:00:00,42.6333333,-71.3166667,lowell,ma,15,rectangle,Many of us saw what I think might be a UFO or UFOs when I got home from dinner with my family.
68937,2010-07-04 23:00:00,48.0519444,-122.1758333,marysville,wa,240,fireball,we saw a space ship looking thing that turned into a fireball and zigzagged back and forth and flew away
68938,2010-07-04 23:00:00,40.7452778,-86.7647222,monticello,in,420,light,6 red stationary lights in formation.
